"","chart_position","title","artist","year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","explicit","popularity","genre1","genre2","genre3","genre4","genre5"
"1",1,"TiK ToK","Ke$ha",2010,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120,"0HPD5WQqrq7wPWR7P7Dw1i",199693,"FALSE","81","dance pop","electropop","pop","pop dance","post-teen pop"
"2",2,"Need You Now","Lady Antebellum",2010,0.587,0.622,4,-5.535,1,0.0303,0.0927,6e-04,0.2,0.231,108,"11EX5yhxr9Ihl3IN1asrfK",277573,"FALSE","69","contemporary country","country","country dawn","country pop","country road"
"3",3,"Hey, Soul Sister","Train",2010,0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97,"4HlFJV71xXKIGcU3kRyttv",216773,"FALSE","83","dance pop","neo mellow","pop","pop rock","dance pop"
"4",4,"California Gurls","Katy Perry Snoop Dogg",2010,0.791,0.754,0,-3.729,1,0.0569,0.0045,0,0.163,0.425,125,"6tS3XVuOyu10897O3ae7bi",234653,"FALSE","73","dance pop","pop","pop dance","post-teen pop","dance pop"
"5",5,"OMG","Usher will.i.am",2010,0.781,0.745,4,-5.81,0,0.0332,0.198,0,0.36,0.326,130,"1bM50INir8voAkVoKuvEUI",269493,"FALSE","72","atl hip hop","dance pop","pop","r&b","south carolina hip hop"
"6",6,"Airplanes","B.o.B Hayley Williams",2010,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93,"6lV2MSQmRIkycDScNtrBXO",180480,"TRUE","75","atl hip hop","dance pop","hip hop","pop","pop dance"
"7",7,"Love The Way You Lie","Eminem Rihanna",2010,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,87,"15JINEqzVMv3SvJTAXAKED",263373,"TRUE","82","detroit hip hop","hip hop","rap","detroit hip hop","hip hop"
"8",8,"Bad Romance","Lady Gaga",2010,0.696,0.921,0,-3.755,1,0.0363,0.0031,1e-04,0.0842,0.714,119,"0SiywuOBRcynK0uKGWdCnn",294573,"TRUE","81","dance pop","pop","pop dance","dance pop","pop"
"9",9,"Dynamite","Taio Cruz",2010,0.754,0.804,4,-3.177,1,0.0853,0.0033,0,0.0329,0.818,120,"1DqdF42leyFIzqNDv9CjId",203867,"FALSE","72","dance pop","edm","pop","pop dance","pop rap"
"10",10,"Break Your Heart","Taio Cruz Ludacris",2010,0.666,0.899,8,-4.676,1,0.028,0.0015,0,0.0677,0.629,122,"1CdqVF1ywD0ZO1zXtB9yWa",186267,"FALSE","66","dance pop","edm","pop","pop dance","pop rap"
"11",11,"Nothin' On You","B.o.B Bruno Mars",2010,0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,104,"59dLtGBS26x7kc0rHbaPrq",268320,"FALSE","73","atl hip hop","dance pop","hip hop","pop","pop dance"
"12",12,"I Like It","Enrique Iglesias Pitbull",2010,0.646,0.94,10,-2.856,0,0.0838,0.0209,0,0.0691,0.704,129,"4nVyHATevhl5RC6Qmoko5H",231787,"FALSE","64","dance pop","latin","latin pop","mexican pop","pop"
"13",13,"BedRock","Young Money Lloyd",2010,0.733,0.664,8,-6.163,1,0.295,0.102,0,0.191,0.557,148,"3iL2l5gUqyPS6vDwJFgJTR",288133,"TRUE","72","dirty south rap","gangster rap","hip hop","pop rap","rap"
"14",14,"In My Head","Jason Derulo",2010,0.762,0.748,0,-4.15,0,0.033,0.0266,0,0.348,0.851,110,"5BoIP8Eha5hwmRVURkC2Us",199027,"FALSE","64","dance pop","pop","pop dance","pop rap","post-teen pop"
"15",15,"Rude Boy","Rihanna",2010,0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,174,"60jzFy6Nn4M0iD1d94oteF",222920,"TRUE","74","barbadian pop","dance pop","pop","pop dance","post-teen pop"
"16",16,"Telephone","Lady Gaga Beyonce",2010,0.825,0.832,5,-5.853,0,0.0403,0.0059,8e-04,0.114,0.713,122,"7rl7ao5pb9BhvAzPdWStxi",220627,"FALSE","68","dance pop","pop","pop dance","dance pop","pop"
"17",17,"Teenage Dream","Katy Perry",2010,0.719,0.798,10,-4.582,1,0.0361,0.0162,0,0.134,0.591,120,"5jzKL4BDMClWqRguW5qZvh",227741,"FALSE","67","dance pop","pop","pop dance","post-teen pop","dance pop"
"18",18,"Just The Way You Are","Bruno Mars",2010,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109,"7BqBn9nzAq8spo5e7cZ0dJ",220733,"FALSE","81","pop","pop","pop","pop","pop"
"19",19,"Cooler Than Me","Mike Posner",2010,0.768,0.82,7,-4.63,0,0.0475,0.179,0,0.704,0.625,130,"2V4bv1fNWfTcyRJKmej6Sj",213293,"FALSE","73","dance pop","edm","pop","pop dance","pop rap"
"20",20,"Imma Be","The Black Eyed Peas",2010,0.597,0.517,0,-6.963,1,0.365,0.179,0,0.307,0.412,92,"5OiLJ8tjUPFiPX2gVM8fxJ",257560,"FALSE","67","dance pop","pop","pop dance","pop rap","dance pop"
"21",21,"Empire State Of Mind","Jay-Z + Alicia Keys",2010,0.696,0.683,6,-8.766,1,0.126,0.0224,0,0.135,0.796,87,"6sLeKXRd18llTYeqiCT0lK",275753,"FALSE","26","atl hip hop","dance pop","pop","r&b","south carolina hip hop"
"22",22,"DJ Got Us Fallin' In Love","Usher Pitbull",2010,0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,120,"4356Typ82hUiFAynbLYbPn",220800,"FALSE","79","dance pop","dance pop","dance pop","dance pop","dance pop"
"23",23,"Billionaire","Travie McCoy Bruno Mars",2010,0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,87,"2M9ULmQwTaTGmAdXaXpfz5",211160,"TRUE","72","detroit hip hop","hip hop","rap","detroit hip hop","hip hop"
"24",24,"Not Afraid","Eminem",2010,0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,115,"7Ie9W94M7OjPoZVV216Xus",248133,"TRUE","78","dance pop","pop rap","post-teen pop","dance pop","pop rap"
"25",25,"Replay","Iyaz",2010,0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91,"5vlEg2fT4cFWAqU5QptIpQ",182307,"FALSE","73","big room","dance pop","edm","pop","pop dance"
"26",26,"Sexy Chick","David Guetta Akon",2010,0.809,0.562,11,-7.694,0,0.0534,0.0816,4e-04,0.105,0.798,130,"4MKzCHlZvkwJOQRNkdw4zq",194347,"FALSE","58","celtic rock","dance pop","neo mellow","pop","pop rock"
"27",27,"Breakeven","The Script",2010,0.627,0.699,10,-4.504,1,0.0244,0.174,0,0.0789,0.535,94,"38xWaVFKaxZlMFvzNff2aW",261427,"FALSE","70","dance pop","electropop","pop","pop dance","post-teen pop"
"28",28,"Your Love Is My Drug","Ke$ha",2010,0.826,0.612,1,-3.891,1,0.0982,0.0068,0,0.0889,0.756,120,"6vc2Jq2vaGu8z326kSrw92",187133,"FALSE","69","dance pop","pop","pop dance","pop rap","dance pop"
"29",29,"I Gotta Feeling","The Black Eyed Peas",2010,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,128,"4vp2J1l5RD4gMZwGFLfRAu",289133,"FALSE","73","indietronica","modern rock","pop","pop rock","post-teen pop"
"30",30,"Fireflies","Owl City",2010,0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180,"3DamFFqW32WihKkTVlwTYQ",228347,"FALSE","79","dance pop","pop","r&b","urban contemporary","dance pop"
"31",31,"Say Aah","Trey Songz Fabolous",2010,0.724,0.87,1,-3.614,0,0.113,0.0045,0,0.833,0.81,93,"2fQ6sBFWaLv2Gxos4igHLy",207547,"FALSE","63","canadian hip hop","canadian pop","hip hop","pop rap","rap"
"32",32,"Find Your Love","Drake",2010,0.627,0.614,6,-6.006,0,0.17,0.0211,0,0.0286,0.758,96,"4BycRneKmOs6MhYG9THsuX",208947,"FALSE","61","dance pop","pop","pop dance","dance pop","pop"
"33",33,"Alejandro","Lady Gaga",2010,0.626,0.799,11,-6.612,0,0.046,4e-04,0.0015,0.36,0.369,99,"4lwavw59UjXUPJZtKNdFYp",274213,"FALSE","63","dance pop","pop","pop dance","pop rap","post-teen pop"
"34",34,"Ridin' Solo","Jason Derulo",2010,0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89,"6BaxqcoEM9r3LXisTyJjST",215747,"FALSE","66","dance pop","hip hop","pop rap","rap","southern hip hop"
"35",35,"Just A Dream","Nelly",2010,0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,90,"3ZdJffjzJWFimSQyxgGIxN",237800,"FALSE","73","atl hip hop","dance pop","dirty south rap","hip hop","pop rap"
"36",36,"How Low","Ludacris",2010,0.785,0.498,1,-6.977,1,0.0533,0.0025,0,0.224,0.418,144,"1WtTLtofvcjQM3sXSMkDdX",201587,"TRUE","62","asian american hip hop","dance pop","edm","pop","pop dance"
"37",37,"Like A G6","Far*East Movement Cataracs  Dev",2010,0.435,0.837,3,-8.126,1,0.449,0.0068,0,0.117,0.778,125,"4DvhkX2ic4zWkQeWMwQ2qf",216893,"FALSE","70","dance pop","hip hop","hip pop","pop","pop dance"
"38",38,"Carry Out","Timbaland Justin Timberlake",2010,0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,116,"2DHc2e5bBn4UzY0ENVFrUl",232467,"FALSE","65","adult standards","canadian pop","jazz pop","lounge","adult standards"
"39",39,"Haven't Met You Yet","Michael Buble",2010,0.615,0.733,8,-4.808,1,0.0335,0.152,0,0.109,0.796,123,"4fIWvT19w9PR0VVBuPYpWA",244587,"FALSE","71","dance pop","miami hip hop","pop","pop dance","pop rap"
"40",40,"Club Can't Handle Me","Flo Rida David Guetta",2010,0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,128,"6ebkx7Q5tTxrCxKq4GYj0Y",234560,"FALSE","75","dance pop","pop","pop rap","post-teen pop","urban contemporary"
"41",41,"Down","Jay Sean Lil Wayne",2010,0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,66,"7LP4Es66zdY7CyjepqmvAg",212107,"FALSE","79","alternative dance","dance pop","electropop","neo-synthpop","new rave"
"42",42,"Bulletproof","La Roux",2010,0.674,0.882,3,-2.771,0,0.0477,4e-04,1e-04,0.068,0.682,123,"6lUY6MoqGgPnA27PHYxem5",205733,"FALSE","65","dance pop","pop","pop dance","pop rap","post-teen pop"
"43",43,"Whatcha Say","Jason Derulo",2010,0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144,"67T6l4q3zVjC5nZZPXByU8",221253,"FALSE","67","canadian pop","pop","post-teen pop","canadian pop","pop"
"44",44,"Baby","Justin Bieber Ludacris",2010,0.731,0.842,5,-5.358,0,0.113,0.0457,0,0.0988,0.473,65,"5DooA0TGpNsnPSVrZJG7FK",216613,"FALSE","15","dance pop","electropop","idol","pop","post-teen pop"
"45",45,"Whataya Want From Me","Adam Lambert",2010,0.44,0.683,11,-4.732,0,0.0489,0.0071,0,0.0593,0.445,186,"2rDwdvBma1O1eLzo29p2cr",227320,"FALSE","63","dance pop","pop","pop dance","dance pop","pop"
"46",46,"Mine","Taylor Swift",2010,0.624,0.757,7,-2.94,1,0.0296,0.0026,0,0.189,0.658,121,"0dBW6ZsW8skfvoRfgeerBF",230707,"FALSE","64","barbadian pop","dance pop","pop","pop dance","post-teen pop"
"47",47,"Only Girl (In The World)","Rihanna",2010,0.789,0.706,11,-4.233,0,0.0429,0.112,0,0.0586,0.638,126,"2ENexcMEMsYk0rVJigVD3i",235493,"FALSE","73","acoustic pop","idol","indiecoustica","neo mellow","pop rock"
"48",48,"Live Like We're Dying","Kris Allen",2010,0.589,0.893,0,-2.948,1,0.0397,0.0273,0,0.343,0.94,92,"1HfxPaJggVwFsvOtHbVzMz",212507,"FALSE","52","barbadian pop","dance pop","pop","pop dance","post-teen pop"
"49",49,"Hard","Rihanna Jeezy",2010,0.31,0.746,1,-3.599,1,0.111,0.0121,0,0.649,0.163,182,"3YJkAQNEhmCZGLdmPsu6Ye",250600,"TRUE","56","karaoke","karaoke","karaoke","karaoke","karaoke"
"50",50,"Young Forever","Jay-Z + Mr. Hudson",2010,0.675,0.446,9,-12.78,0,0.186,0.209,0,0.148,0.402,140,"5uVsPXEbTGYzltWD65i3xt",252602,"FALSE","8","dance pop","electropop","pop","pop dance","post-teen pop"
"51",51,"Blah Blah Blah","Ke$ha 3OH!3",2010,0.752,0.836,10,-3.173,1,0.115,0.0843,4e-04,0.424,0.519,120,"7lWUJpax919G4JdaFEVmCy",172053,"FALSE","62","dance pop","pop","r&b","urban contemporary","dance pop"
"52",52,"Bottoms Up","Trey Songz Nicki Minaj",2010,0.844,0.601,1,-5.283,1,0.157,0.0205,0,0.385,0.331,74,"4AYX69oFP3UOS1CFmV9UfO",242013,"TRUE","72","dance pop","pop","pop rap","post-teen pop","urban contemporary"
"53",53,"Do You Remember","Jay Sean Sean Paul  Lil Jon",2010,0.855,0.668,11,-4.892,1,0.0644,0.0242,0,0.102,0.803,126,"7yws3pF3FFguwT2Psi6c15",210307,"FALSE","69","dance pop","neo mellow","piano rock","pop","pop dance"
"54",54,"All The Right Moves","OneRepublic",2010,0.529,0.948,0,-3.527,1,0.0474,0.258,0,0.283,0.65,146,"5XRHGXut00SrJUFmcn2lQF",238000,"FALSE","64","candy pop","candy pop","candy pop","candy pop","candy pop"
"55",55,"According To You","Orianthi",2010,0.619,0.917,5,-2.582,1,0.0507,0.0233,0,0.0986,0.552,131,"72phhQtfwZcRweweRxxkmU",200347,"FALSE","53","atl hip hop","dance pop","dirty south rap","hip hop","pop rap"
"56",56,"My Chick Bad","Ludacris Nicki Minaj",2010,0.624,0.723,1,-6.782,1,0.378,0.172,0,0.483,0.757,85,"3bMNprrp2JDKZsGbiXpsJl",216933,"TRUE","66","dance pop","pop","pop dance","dance pop","pop"
"57",57,"You Belong With Me","Taylor Swift",2010,0.687,0.783,6,-4.44,1,0.0386,0.162,0,0.114,0.443,130,"3GCL1PydwsLodcpv0Ll1ch",231133,"FALSE","71","dance pop","pop","pop dance","pop rap","dance pop"
"58",58,"Meet Me Halfway","The Black Eyed Peas",2010,0.798,0.629,11,-6.857,0,0.0735,0.0047,0,0.324,0.4,130,"0xfpx7AiwgSKEtjotea2L6",284373,"FALSE","66","dance pop","electropop","pop","pop dance","post-teen pop"
"59",59,"Take It Off","Ke$ha",2010,0.729,0.675,5,-5.292,0,0.0286,0,0.0013,0.0867,0.74,125,"0WCiI0ddWiu5F2kSHgfw5S",215200,"FALSE","69","canadian hip hop","canadian pop","hip hop","pop rap","rap"
"60",60,"Over","Drake",2010,0.35,0.845,7,-5.614,1,0.2,0.0107,0,0.123,0.45,100,"6BdgtqiV3oXNqBikezwdvC",233560,"TRUE","64","indie poptimism","modern alternative rock","modern rock","neo mellow","pop"
"61",61,"Animal","Neon Trees",2010,0.482,0.833,5,-5.611,1,0.0449,3e-04,0,0.365,0.74,148,"1fBl642IhJOE5U319Gy2Go",212293,"FALSE","71","pop","pop rock","pop","pop rock","pop"
"62",62,"Misery","Maroon 5",2010,0.704,0.81,4,-4.874,0,0.0425,3e-04,0,0.216,0.726,103,"6KBYk8OFtod7brGuZ3Y67q",216200,"FALSE","61","atl hip hop","dance pop","hip hop","pop","pop dance"
"63",63,"Magic","B.o.B Rivers Cuomo",2010,0.549,0.932,8,-4.11,0,0.343,0.0127,0,0.347,0.787,82,"5uHYcK0nbEYgRaFTY5BqnP",196133,"FALSE","66","dance pop","pop","pop dance","dance pop","pop"
"64",64,"Paparazzi","Lady Gaga",2010,0.762,0.692,5,-3.973,0,0.0438,0.113,0,0.094,0.397,115,"7Hqig8kp32q2Ire3ECQvWM",208307,"FALSE","68","dance pop","pop rap","southern hip hop","dance pop","pop rap"
"65",65,"Tie Me Down","New Boyz Ray J",2010,0.42,0.787,8,-4.467,1,0.294,0.0104,0,0.198,0.38,98,"4faiJXyBflUVVOOE9fxbeg",178808,"TRUE","55","dance pop","hip pop","pop","pop dance","pop rap"
"66",66,"Your Love","Nicki Minaj",2010,0.422,0.52,11,-10.231,1,0.343,0.002,0.0041,0.411,0.184,190,"1w6kG4Rc29m5EherbvpkF5",245253,"TRUE","62","dance pop","pop","pop dance","post-teen pop","dance pop"
"67",67,"Party In The U.S.A.","Miley Cyrus",2010,0.652,0.698,10,-4.667,0,0.042,0.0011,1e-04,0.0886,0.47,96,"5Q0Nhxo0l2bP3pNjpGJwV1",202067,"FALSE","73","dance pop","pop","pop rap","r&b","rap"
"68",68,"Deuces","Chris Brown Tyga  Kevin McCall",2010,0.692,0.736,1,-5.109,1,0.11,0.0324,0,0.0787,0.217,74,"6wN4nT2qy3MQc098yL3Eu9",276560,"TRUE","68","dance pop","pop","pop dance","pop rap","post-teen pop"
"69",69,"3","Britney Spears",2010,0.697,0.709,5,-1.917,0,0.0455,0.0452,0,0.138,0.787,135,"6pymOcrCnMuCWdgGVTvUgP",213173,"FALSE","65","barbadian pop","dance pop","post-teen pop","barbadian pop","dance pop"
"70",70,"Impossible","Shontelle",2010,0.599,0.624,8,-3.631,1,0.0343,0.385,0,0.125,0.539,90,"45EDI3rk0f4cAMt9f8b56R",226533,"FALSE","68","canadian hip hop","canadian pop","hip hop","pop rap","rap"
"71",71,"Forever","Drake Kanye West Lil Wayne  Eminem",2010,0.415,0.926,5,-1.304,0,0.374,0.253,0,0.256,0.542,158,"6HSqyfGnsHYw9MmIpa9zlZ",357347,"TRUE","65","dance pop","emo","neo mellow","neon pop punk","pop punk"
"72",72,"Two Is Better Than One","Boys Like Girls Taylor Swift",2010,0.521,0.702,0,-5.189,1,0.0331,0.189,0,0.0962,0.25,128,"1MaqkdFNIKPdpQGDzme5ss",242840,"FALSE","65","dance pop","electropowerpop","modern rock","pop","pop punk"
"73",73,"My First Kiss","3OH!3 Ke$ha",2010,0.682,0.889,0,-4.166,1,0.0804,0.0056,0,0.36,0.827,138,"17tDv8WA8IhqE8qzuQn707",192440,"FALSE","64","dance pop","neo mellow","pop","pop dance","pop rock"
"74",74,"Already Gone","Kelly Clarkson",2010,0.209,0.872,9,-2.996,1,0.0757,0.217,0,0.0768,0.294,78,"4fq2YUONcgrCJ2SPndSeKC",281560,"FALSE","56","dance pop","pop","pop dance","pop rap","dance pop"
"75",75,"Rock That Body","The Black Eyed Peas",2010,0.715,0.907,7,-6.025,0,0.0993,0.0172,1e-04,0.426,0.841,125,"5K5LbSTVuKKe1KGMNfBgIW",268840,"FALSE","57","dance pop","neo mellow","piano rock","pop","pop dance"
"76",76,"Secrets","OneRepublic",2010,0.516,0.764,2,-6.223,1,0.0366,0.0717,0,0.115,0.376,148,"1NhPKVLsHhFUHIOZ32QnS2",224693,"FALSE","75","dance pop","electropop","pop","pop dance","pop rap"
"77",77,"Naturally","Selena Gomez  The Scene",2010,0.605,0.902,10,-5.406,0,0.0511,0.0185,0,0.0534,0.875,133,"1YaVmBh7EAeR54FIjuFcb5",202587,"FALSE","64","hip pop","neo soul","pop","r&b","urban contemporary"
"78",78,"Un-Thinkable (I'm Ready)","Alicia Keys",2010,0.595,0.507,7,-7.892,1,0.0618,0.732,0,0.106,0.337,86,"4JOP8ELK6AaeySe7sKe996",249240,"FALSE","63","dance pop","hip hop","miami hip hop","pop","pop rap"
"79",79,"All I Do Is Win","DJ Khaled T-Pain Ludacris Snoop Dogg  Rick Ross",2010,0.545,0.781,10,-3.616,1,0.185,0.0139,0,0.161,0.277,150,"12PNcnMsjsZ3eHm62t8hiy",232507,"TRUE","70","dance pop","pop rap","dance pop","pop rap","dance pop"
"80",80,"I Made It (Cash Money Heroes)","Kevin Rudolf Birdman Jay Sean  Lil Wayne",2010,0.592,0.944,7,-2.94,1,0.111,0.043,0,0.365,0.574,124,"6H2wnX7ytNeCKERIVqCwgs",249547,"TRUE","54","contemporary country","country","country dawn","country road","modern country rock"
"81",81,"Stuck Like Glue","Sugarland",2010,0.702,0.795,1,-4.764,1,0.0568,0.329,0,0.0505,0.836,84,"0JcKdUGNR7zI4jJDLyYXbi",247587,"FALSE","64","atl hip hop","dance pop","pop","r&b","south carolina hip hop"
"82",82,"Hey Daddy (Daddy's Home)","Usher Plies",2010,0.402,0.741,11,-3.822,1,0.0411,3e-04,0,0.203,0.356,128,"1kLYMOFEzQX9PgdKB7VkSL",256293,"FALSE","48","atl hip hop","dance pop","pop","r&b","south carolina hip hop"
"83",83,"There Goes My Baby","Usher",2010,0.626,0.52,9,-8.077,0,0.0892,0.175,0,0.13,0.257,77,"6IUiqtI8tE49sqGbmtrNd8",281293,"FALSE","58","dance pop","pop","pop dance","dance pop","pop"
"84",84,"Today Was A Fairytale","Taylor Swift",2010,0.491,0.703,7,-4.5,1,0.0319,0.0307,0,0.167,0.344,158,"4pFvEWbjBpPUdYRQly0THs",242480,"FALSE","56","dance pop","hip hop","hip pop","pop","pop dance"
"85",85,"Say Something","Timbaland Drake",2010,0.555,0.713,11,-4.549,1,0.0911,0.0845,0,0.712,0.725,80,"7qje9qxLncMESiPeI27SAn",240920,"FALSE","55","dance pop","pop","pop dance","post-teen pop","r&b"
"86",86,"Sweet Dreams","Beyonce",2010,0.694,0.825,1,-5.986,1,0.111,0.0895,0,0.0618,0.788,122,"1FKxKGONukVFXWVJxAKmlz",208067,"FALSE","66","modern rock","rock","modern rock","rock","modern rock"
"87",87,"Use Somebody","Kings Of Leon",2010,0.276,0.715,0,-5.356,1,0.0432,0.0055,4e-04,0.201,0.173,137,"5VGlqQANWDKJFl0MBG3sg2",230760,"FALSE","76","contemporary country","country","country dawn","country road","dance pop"
"88",88,"Undo It","Carrie Underwood",2010,0.476,0.84,2,-2.259,1,0.058,0.11,0,0.046,0.648,156,"1Fo2N5iXRi37maMboaig7O",177253,"FALSE","58","dance pop","miami hip hop","pop","pop dance","post-teen pop"
"89",89,"Eenie Meenie","Sean Kingston  Justin Bieber",2010,0.718,0.638,1,-3.479,1,0.031,0.0412,0,0.169,0.835,121,"4Yaw2PmyOETOnEM3TCf98I",201973,"FALSE","61","hip hop","new orleans rap","pop rap","rap","trap"
"90",90,"Right Above It","Lil Wayne Drake",2010,0.376,0.841,3,-4.348,0,0.356,0.0435,0,0.578,0.463,76,"1kMuU3TNQvHbqvXCWBodmP",271947,"TRUE","68","contemporary country","country","country dawn","country road","contemporary country"
"91",91,"The House That Built Me","Miranda Lambert",2010,0.515,0.3,5,-8.005,1,0.0289,0.575,0,0.115,0.206,81,"02eD9ymfJOJOhM97HYp5R9",236627,"FALSE","65","contemporary country","country","country dawn","country road","modern country rock"
"92",92,"If I Die Young","The Band Perry",2010,0.606,0.497,4,-6.611,1,0.0277,0.348,0,0.275,0.362,131,"4u26EevCNXMhlvE1xFBJwX",222773,"FALSE","68","candy pop","emo","pixie","pop emo","pop punk"
"93",93,"The Only Exception","Paramore",2010,0.452,0.563,4,-6.607,1,0.0272,0.144,0,0.143,0.209,138,"7JIuqL4ZqkpfGKQhYlrirs",267653,"FALSE","71","contemporary country","country","country dawn","country pop","country road"
"94",94,"American Honey","Lady Antebellum",2010,0.588,0.684,1,-5.154,1,0.0288,0.508,0,0.141,0.121,86,"4xInIiKipU1mtUogJ3ZdYr",224867,"FALSE","63","acoustic pop","dance pop","lilith","neo mellow","pop"
"95",95,"King Of Anything","Sara Bareilles",2010,0.676,0.762,1,-4.172,1,0.0351,0.461,0,0.0574,0.81,119,"3VA8T3rNy5V24AXxNK5u9E",207493,"FALSE","62","alternative metal","neo mellow","pop rock","post-grunge","alternative metal"
"96",96,"Life After You","Daughtry",2010,0.396,0.796,5,-3.253,1,0.0357,0.0597,0,0.407,0.362,154,"70NGpcNvhI2hqonWNAETIu",207213,"FALSE","54","country","country road","pop rock","country","country road"
"97",97,"Smile","Uncle Kracker",2010,0.541,0.812,4,-3.764,1,0.0336,0.203,0,0.42,0.607,141,"4ZC8hXXqu2hPcDLw9QTdtQ",201627,"FALSE","67","pop rap","pop rap","pop rap","pop rap","pop rap"
"98",98,"Teach Me How To Dougie","Cali Swag District",2010,0.846,0.438,11,-4.981,1,0.141,0.2,1e-04,0.0939,0.512,85,"61LtVmmkGr8P9I2tSPvdpf",237480,"TRUE","69","hip pop","neo soul","pop","r&b","urban contemporary"
"99",99,"Try Sleeping With A Broken Heart","Alicia Keys",2010,0.496,0.82,5,-5.155,1,0.112,0.158,0.246,0.13,0.549,111,"1yK9LISg5uBOOW5bT2Wm0i",249013,"FALSE","61","contemporary country","country","country pop","country road","modern country rock"
"100",100,"Lover, Lover","Jerrod Niemann",2010,0.879,0.567,7,-6.509,1,0.0586,0.184,0,0.622,0.948,112,"5UzU0qw21okODBNUnxptVo",193733,"FALSE","61","british soul","pop","pop soul","uk pop","british soul"
"101",1,"Rolling In The Deep","Adele",2011,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,105,"1c8gk2PeTE04A1pIDH9YMk",228093,"TRUE","76","dance pop","edm","pop","pop dance","pop rap"
"102",2,"Party Rock Anthem","LMFAO Lauren Bennett  GoonRock",2011,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,130,"0IkKz2J93C94Ei4BvDop7P",262173,"FALSE","68","dance pop","pop","pop dance","post-teen pop","dance pop"
"103",3,"Firework","Katy Perry",2011,0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124,"4lCv7b86sLynZbXhfScfm2",227880,"FALSE","74","dance pop","pop","pop dance","post-teen pop","dance pop"
"104",4,"E.T.","Katy Perry Kanye West",2011,0.62,0.869,1,-5.252,1,0.175,0.0181,0,0.369,0.76,152,"36ux3YuUsGTWPT8fXclS45",229573,"FALSE","65","dance pop","latin","miami hip hop","pop","pop dance"
"105",5,"Give Me Everything","Pitbull Ne-Yo Afrojack  Nayer",2011,0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129,"4QNpBfC0zvjKqPJcyqBy9W",252307,"FALSE","80","pop","pop","pop","pop","pop"
"106",6,"Grenade","Bruno Mars",2011,0.706,0.558,2,-7.237,0,0.0593,0.146,0,0.118,0.227,110,"2tJulUYLDKOg9XrtVkMgcJ",223253,"FALSE","76","dance pop","hip pop","pop","pop dance","pop rap"
"107",8,"Super Bass","Nicki Minaj",2011,0.723,0.86,11,-4.357,1,0.203,0.271,0,0.598,0.667,127,"3hlksXnvbKogFdPbpO9vel",200013,"TRUE","78","pop","pop rock","pop","pop rock","pop"
"108",9,"Moves Like Jagger","Maroon 5 Christina Aguilera",2011,0.708,0.784,11,-3.742,0,0.049,0.012,0,0.368,0.697,128,"0gLJx0ZOcwgZuewbtBDQWI",202859,"FALSE","3","dance pop","pop","pop dance","pop rap","dance pop"
"109",10,"Just Can't Get Enough","The Black Eyed Peas",2011,0.659,0.628,0,-8.685,0,0.179,0.186,0,0.105,0.262,94,"3JA9Jsuxr4xgHXEawAdCp4",219427,"FALSE","74","dance pop","pop","pop dance","pop rap","post-teen pop"
"110",11,"On The Floor","Jennifer Lopez Pitbull",2011,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.0013,0.142,0.444,130,"0Oe49j06Bjrxs8PltuVeaW",230907,"FALSE","75","barbadian pop","dance pop","pop","pop dance","post-teen pop"
"111",12,"S&M","Rihanna",2011,0.769,0.684,1,-5.019,1,0.0411,0.0105,1e-04,0.0887,0.835,128,"7ySUcLPVX7KudhnmNcgY2D",243600,"FALSE","74","indie pop","indietronica","modern alternative rock","modern rock","pop"
